Date;Close
1992-01-01;20
1992-04-10;50
1992-05-23;80
1993-03-30;100
1993-06-02;110
1993-06-22;120
1993-06-29;140
1993-07-15;170
1993-09-23;180
1993-10-15;210
1994-04-29;205
1994-05-17;200
1994-06-02;185
1994-06-22;170
1994-06-30;155
1994-08-01;150
1994-08-23;130
1994-10-12;170
1994-11-17;180
1995-01-06;200
1995-05-16;195
1995-06-19;180
1995-10-24;170
1995-12-01;160
1996-02-10;120
1996-07-24;110
1996-08-19;80
1996-10-21;60
1996-12-02;48
1997-02-10;42
1997-04-28;36
1997-06-16;24
1997-10-06;21
1997-11-11;28
1998-02-02;42
1998-02-17;39
1998-03-02;36
1998-03-16;30
1998-05-19;50
1998-05-27;150
1998-06-05;60
1998-06-29;80
1998-07-24;60
1999-06-10;55
2000-01-24;45
2000-03-07;38
2000-03-21;33
2000-07-10;28
2000-11-04;25
2002-04-09;23
2002-08-07;21
2003-02-17;18
2003-06-21;16
2004-01-15;14
2004-06-15;13
2005-12-26;12
2006-06-26;11.5
2006-10-23;11
2007-01-29;10.5
2007-06-19;10
2008-02-04;10.25
2008-04-29;10.5
2008-06-10;10.75
2008-07-14;11
2008-11-12;12
2008-12-01;13
2009-04-24;12.5
2009-05-14;12
2009-06-05;11.5
2009-07-13;11
2009-08-10;10.75
2009-09-15;10.5
2009-09-30;10
2009-10-30;9.5
2009-11-25;9
2009-12-28;8.75
2010-02-24;8.5
2010-03-29;8.25
2010-04-30;8
2010-06-01;7.75
2011-02-28;8
2011-05-03;8.25
2011-12-26;8
2012-09-14;8.25
2013-09-14;5.5
2014-03-03;7
2014-04-28;7.5
2014-07-28;8
2014-11-05;9.5
2014-12-12;10.5
2014-12-16;17
2015-02-02;15
2015-03-16;14
2015-05-05;12.5
2015-06-16;11.5
2015-08-03;11
2016-06-14;10.5
2016-09-19;10
2017-03-27;9.75
2017-05-02;9.25
2017-06-19;9
2017-09-18;8.5
2017-10-30;8.25
2017-12-18;7.75
2018-02-12;7.5
2018-03-26;7.25
2018-09-17;7.5
2018-12-17;7.75
2019-06-17;7.5
2019-07-29;7.25
2019-09-09;7
2019-10-28;6.5
2019-12-16;6.25
2020-02-10;6
2020-04-27;5.5
